gene	n_bins	sum_x1_ESC	sum_x2_NPC	ratio_x2_over_x1
1700020D05Rik	3	8	5	0.625
1700020G17Rik	3	9	14	1.5555555555555556
1700020L24Rik	3	27	13	0.48148148148148145
1700020M21Rik	3	10	10	1.0
1700020N01Rik	3	7	21	3.0
1700020N15Rik	3	2	6	3.0
1700020N18Rik	3	4	0	0.0
1700021F02Rik	3	6	6	1.0
1700021F07Rik	3	10	12	1.2
1700021N21Rik	3	15	16	1.0666666666666667
1700022A21Rik	3	7	5	0.7142857142857143
1700022A22Rik	3	5	9	1.8
1700022E09Rik	3	5	4	0.8
1700022H01Rik	1	4	1	0.25
1700022H16Rik	3	6	9	1.5
1700022I11Rik	3	15	11	0.7333333333333333
1700023C21Rik	3	3	5	1.6666666666666667
1700023D09Rik	3	11	9	0.8181818181818182
1700023F02Rik	3	4	16	4.0
1700024B18Rik	3	0	0	NA
1700024F13Rik	3	2	4	2.0
1700024G13Rik	3	22	14	0.6363636363636364
1700024I08Rik	3	0	0	NA
1700024N05Rik	2	5	4	0.8
1700025B11Rik	3	15	13	0.8666666666666667
1700025C18Rik	3	42	16	0.38095238095238093
1700025F24Rik	3	17	12	0.7058823529411765
1700025G04Rik	3	16	20	1.25
1700025J12Rik	1	4	4	1.0
1700025K24Rik	3	1	7	7.0
1700025M24Rik	3	21	7	0.3333333333333333
1700025N23Rik	3	16	6	0.375
1700026D11Rik	3	11	3	0.2727272727272727
1700026F02Rik	3	5	8	1.6
1700026J14Rik	3	8	8	1.0
1700027A15Rik	1	5	6	1.2
1700027F06Rik	3	6	7	1.1666666666666667
1700027F09Rik	3	7	19	2.7142857142857144
1700027H10Rik	3	4	8	2.0
1700027I24Rik	3	4	8	2.0
1700027J07Rik	3	11	11	1.0
1700028B04Rik	3	7	5	0.7142857142857143
1700028D13Rik	3	61	24	0.39344262295081966
1700028E10Rik	3	0	0	NA
1700028I16Rik	3	15	11	0.7333333333333333
1700028J19Rik	3	72	58	0.8055555555555556
1700028K03Rik	3	275	90	0.32727272727272727
1700028M03Rik	3	6	4	0.6666666666666666
1700028P14Rik	3	9	13	1.4444444444444444
1700028P15Rik	3	8	2	0.25
1700029B22Rik	1	3	4	1.3333333333333333
1700029F12Rik	3	14	7	0.5
1700029H14Rik	3	17	12	0.7058823529411765
1700029I15Rik	3	9	13	1.4444444444444444
1700029J03Rik	3	11	12	1.0909090909090908
1700029J07Rik	3	18	42	2.3333333333333335
1700029M20Rik	3	10	9	0.9
1700029N11Rik	3	23	11	0.4782608695652174
1700029P11Rik	3	1	3	3.0
1700030A11Rik	3	15	12	0.8
1700030C10Rik	3	0	0	NA
1700030C14Rik	3	15	11	0.7333333333333333
1700030F04Rik	3	2	1	0.5
1700030J22Rik	3	5	8	1.6
1700030K09Rik	1	1	1	1.0
1700030L20Rik	3	0	1	NA
1700030M09Rik	3	22	14	0.6363636363636364
1700030N03Rik	3	0	2	NA
1700030O20Rik	3	10	7	0.7
1700031A10Rik	3	6	22	3.6666666666666665
1700031F05Rik	3	4	2	0.5
1700031L13Rik	3	3	10	3.3333333333333335
1700031M16Rik	3	13	13	1.0
1700031P21Rik	3	9	8	0.8888888888888888
1700034E13Rik	3	6	12	2.0
1700034G24Rik	3	25	9	0.36
1700034H15Rik	2	0	0	NA
1700034I23Rik	3	12	12	1.0
1700034J05Rik	3	3	3	1.0
1700034K08Rik	3	4	10	2.5
1700034P13Rik	3	8	12	1.5
1700036G14Rik	3	2	4	2.0
1700037C18Rik	1	1	2	2.0
1700037H04Rik	3	8	10	1.25
1700039E22Rik	3	11	22	2.0
1700039M10Rik	1	0	4	NA
1700040D17Rik	3	0	0	NA
1700041A01Rik	3	6	12	2.0
1700041C23Rik	3	6	6	1.0
1700041M19Rik	3	5	17	3.4
1700042G07Rik	3	2	4	2.0
1700042G15Rik	3	8	10	1.25
1700042O10Rik	3	2	9	4.5
1700044C05Rik	3	1	3	3.0
1700044K03Rik	3	13	4	0.3076923076923077
1700045H11Rik	3	27	12	0.4444444444444444
1700046C09Rik	3	14	11	0.7857142857142857
1700047A11Rik	3	7	7	1.0
1700047E10Rik	3	8	18	2.25
